author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
TheEllenShow,"You’ve sent over ONE MILLION of my #EmojiExploji! I’m so happy, I made a collagoji. https://t.co/ZtdTFnC4Mh https://t.co/t4iln3fFXs",,07/10/2016 17:44,7.84449e+17,en,,,2638,298
TheEllenShow,"The Brielle-iant 4-year-old is back. I hope you’re ready, Internet. https://t.co/HbidTkFFd5 https://t.co/Yb2ntut52x",,12/05/2016 17:45,7.30816e+17,en,,,4327,1020
TheEllenShow,"Happy birthday, Prince Harry! I got you a special gift- a blind date with any of my Twitter followers. Your pick! You’re welcome.",,15/09/2015 17:07,6.43834e+17,en,,,6349,1115
TheEllenShow,You got a little something right there. https://t.co/qDCcznSd9B,,18/03/2016 21:16,7.10938e+17,en,,,20496,4090
TheEllenShow,It’s National #CanadaDay! I can’t believe how few people in the US know it. As if I dressed up as a Mountie for no reason.,,01/07/2015 18:10,6.16308e+17,en,,,5414,1531
TheEllenShow,"If this isn’t on his Tinder profile, he has seriously missed an opportunity. http://t.co/wrJOkvnEW4",,03/09/2015 20:11,6.39531e+17,en,,,11754,2197
TheEllenShow,There’s no better way to sell Star Wars tickets on the street than with Princess Leia herself. https://t.co/XlZsTJC7Bv,,14/12/2015 18:51,6.76475e+17,en,,,2215,446
TheEllenShow,Good luck tonight to my friend @DrewBrees. I’ll be watching on #TNFonNBC. https://t.co/KnLa0xyj5h,,17/11/2016 23:58,7.99401e+17,en,,,2639,254
TheEllenShow,"""What chocolate? I didn’t see no chocolate.” https://t.co/SgBA0zNxch",,28/12/2015 20:02,6.81566e+17,en,,,6630,1301
TheEllenShow,Season 14 starts in 5 days! https://t.co/BWmXc1yoGu,,01/09/2016 22:00,7.71468e+17,en,,,6830,1285
TheEllenShow,"If you have an animal selfie, send it to me! If this is an animal, give it to a person &amp; tell them to send it to me. http://t.co/hRx6j90Gd3",,11/08/2015 21:57,6.31223e+17,en,,,7780,1306
TheEllenShow,"Happy birthday, @TomHanks. I love you.",,09/07/2016 18:58,7.51853e+17,en,,,9402,1707
TheEllenShow,WWE wrestler @JohnCena is on my show today! He’s a good man to have in your corner. https://t.co/n6MKKfhRmt https://t.co/KDE34shUPh,,06/04/2016 18:54,7.17788e+17,en,,,3095,515
TheEllenShow,Here’s the winner of my #CuterThanKidChallenge! You can still vote for your favorite on Chosen. https://t.co/daF2NbFUMp,,04/05/2016 21:18,7.27971e+17,en,,,1497,211
TheEllenShow,My giant selfie stick worked! What a great idea. I thought of it myselfie. http://t.co/DYuLUTrbL1,,28/04/2015 00:18,5.92845e+17,en,,,15786,2781
TheEllenShow,"These two are incredible. @ArianaGrande, I love you for doing this.
https://t.co/ICJD1YmpB7",,01/05/2015 21:29,5.94252e+17,en,,,11011,6120
TheEllenShow,"Happy birthday, Kate Winslet! Near, far, wherever you are.",,05/10/2015 19:46,6.51121e+17,en,,,7047,2205
TheEllenShow,"What’s in the box? A vacation for everyone in my audience. And maybe one for you, too. https://t.co/0v9KoWcmlo https://t.co/PPQ5lkEgg2",,08/02/2016 20:23,6.96791e+17,en,,,2066,289
TheEllenShow,Holy sheet! My sheets are in Bed Bath &amp; Beyond! And you could win a $250 gift card. #EdBathandBeyond https://t.co/gUFzrNFDjS,,03/05/2016 22:11,7.27622e+17,en,,,1896,259
TheEllenShow,This may be our best giveaway ever. It’s a bonus day of the 12 Days of Giveaways! https://t.co/6G8VLECTSa,,18/12/2015 19:41,6.77937e+17,en,,,1606,282
Twitter,#Periscope broadcasts are now live directly in your timeline on https://t.co/SlNTFacp9A!   https://t.co/QJiFBYjy54,,04/03/2016 18:15,7.05819e+17,en,,,630,318
Twitter,"Want to join @AndreaRussett, @EthanDolan, @GraysonDolan, and the #StickTogether crew? Try using these four stickers. https://t.co/kkBlNLq4HO",,28/07/2016 17:58,7.58723e+17,en,,,2286,472
Twitter,"@bellesapepper37 I've cleared the cache on your account. Also, looks like you've hit the following limit: http://t.co/IYqCw3m",,22/02/2011 22:24,4.01752e+16,en,,,28,15
Twitter,@vitodecataldo Score! Glad you're liking it!,,10/02/2011 22:36,3.58295e+16,en,,,45,42
Twitter,"The Twitter Audio Card, now with @iTunesMusic: https://t.co/qY1ldy0GHx",,16/10/2014 21:36,5.22864e+17,en,,,447,358
Twitter,@KrishnaDe Thanks for noticing! See ya around! 😎 #GoLive,,14/12/2016 22:01,8.09156e+17,en,,,32,13
Twitter,"Can't pop, won't pop🎈

https://t.co/HDSjpxYHqy
https://t.co/EI4FIBlXLF",,14/03/2016 23:15,7.09518e+17,en,,,1671,423
Twitter,"New on Amazon Alexa! Use the Twitter Reader skill to hear trends, top Tweets, notifications &amp; more! Just #AskAlexa. https://t.co/BvXRS4NiQu",,09/09/2016 16:00,7.74276e+17,en,,,1891,624
Twitter,"@Nadeshot, thanks for inspiring us with your Tweets. High five! #LoveTwitter https://t.co/WNHvuSFHTj",,21/03/2016 23:15,7.12055e+17,en,,,8923,3711
Twitter,"@jamesnix40 Well done, James. Well done.👏 https://t.co/q4aOo2Lg5f",,09/12/2016 22:34,8.07353e+17,en,,,109,31
Twitter,"Tonight is the night. Tune into the @nflnetwork for #CLEvsBAL.

#TNF streaming LIVE on Twitter will be back next we… https://t.co/XqHdfztoWv",,11/11/2016 00:30,7.96873e+17,en,,,947,241
Twitter,More details in new Twitter for BlackBerry http://t.co/B9qrPtoP,,16/07/2012 18:11,2.24929e+17,en,,,268,314
Twitter,"You got it, @google. We'll bring the Tweets. 🎉",,21/08/2015 17:31,6.3478e+17,en,,,2750,1742
Twitter,Bring some birthday joy to your profile. New today: add your birth date from our Android app. http://t.co/K7qa9hy1EO,,25/08/2015 19:45,6.36263e+17,en,,,757,319
Twitter,@Caspar_Lee https://t.co/yCge0nwwL9,,14/01/2017 01:05,8.20074e+17,und,,,275,42
Twitter,Twitter for iPhone now available in the iTunes App Store http://bit.ly/bu4gSu,,19/05/2010 17:50,14307539760.0,en,,,171,1913
Twitter,Follow #NYFW on @Twitter and @vineapp! Here's all the details: http://t.co/f0ag6ziy,,07/02/2013 19:55,2.99607e+17,en,,,144,211
Twitter,We'll be enjoying a pre-game fiesta with the @sfgiants and @roomtoread on 4/30 at the ballpark. Come tweetup! http://bit.ly/dnnTkG,,06/04/2010 00:00,11668336045.0,en,,,37,51
Twitter,Fluther Flocks to Twitter! http://t.co/3pVoqRe,,21/12/2010 17:36,1.72723e+16,en,,,94,81
Twitter,"Woops, bad link from a few tweets back about the auction. This is what we meant: http://t.co/5apy3XR",,08/12/2010 20:29,1.26046e+16,en,,,56,46
YouTube,"Now you can watch ""Home Alone"" in 8-bit, ya filthy animals→ https://t.co/aPSKifPlh2 https://t.co/2q7NmaEK2C",,28/12/2016 02:00,8.13927e+17,en,,,1379,271
YouTube,@NathanZed they're even better in outer space. https://t.co/ydMS3F9Etj https://t.co/Ll0FHL8HfJ,,03/10/2016 23:09,7.83081e+17,en,,,60,8
YouTube,"You better bless up, and never get played.
#KeysOfChristmas is coming and @djkhaled’s in the sleigh! 🎅  🔑  🙏 https://t.co/bkSXMHnZ0Q",,05/12/2016 19:22,8.05855e+17,en,,,472,81
YouTube,@sortedfood Grace’s face = us.,,20/12/2016 22:41,8.11341e+17,en,,,28,0
YouTube,"@O_Dolly ""More news soon!  But we will see you in 2017!"" - @johnlegend",,21/12/2016 18:28,8.11639e+17,en,,,19,2
YouTube,@kat_blaque We're thrilled that you could be in it! Hope you enjoyed the video! #KeepMakingHistory,,01/03/2016 22:30,7.04796e+17,en,,,17,6
YouTube,@ChaBoyyHD But hot like 🍕  or hot like ☀ ️?,,11/05/2016 22:10,7.3052e+17,en,,,30,2
YouTube,.@zaynmalik gets deep and moody in “iT's YoU.” https://t.co/118HJGVMkZ https://t.co/WHnNE2DX3k,,28/03/2016 20:15,7.14546e+17,en,,,1513,276
YouTube,Oh snap! Dumptruck’s going HAMster on those carrots. https://t.co/jyUhyraFZW https://t.co/JjJMkCdsSe,,26/01/2016 21:00,6.9209e+17,en,,,1506,269
YouTube,@ConorMaynard Stop you're making us feel old too. jk happy 10 year anniversary!,,19/05/2016 22:45,7.33428e+17,en,,,151,24
YouTube,Feed your soul with tips and tricks from these top culinary creators → https://t.co/uRglKoEyUS https://t.co/uiIxnyXWLP,,09/02/2016 23:30,6.97201e+17,en,,,1820,301
YouTube,@yolanda_gampp We want it all. 🧀🍦🌶🌭🍍🍉🍿🍔🎂,,17/01/2017 22:43,8.21488e+17,en,,,25,5
YouTube,"In the future it won’t be your day, your week, your month, or even your year. https://t.co/X4fu3UAbvP #BadInternet https://t.co/SEia3Yywgz",,26/05/2016 22:24,7.3596e+17,en,,,909,111
YouTube,Today is #FridayThe13th. Watch out! https://t.co/hR3cOyvw8C #ChChChAhAhAh https://t.co/E7TBXSM8L9,,13/05/2016 15:41,7.31147e+17,en,,,1462,454
YouTube,Follow @MusicLapsley and #YouTubeMusic into the underground electronic music scene in Georgia (the country)… https://t.co/fuO1GM9Xww,,14/12/2016 18:52,8.09109e+17,en,,,530,70
YouTube,Closing out #NationalHotDogMonth with exclusive carnage from two of our favorite destroyers. https://t.co/cevRq71heT https://t.co/7FVs14Zk9V,,29/07/2016 17:59,7.59086e+17,en,,,855,130
YouTube,@atimsihcus @ZZWard @LindseyStirling It’s seriously masterful.,,18/11/2016 22:25,7.9974e+17,en,,,24,3
YouTube,"@DaymDrops What a collab! Also, thanks for the taco party yesterday, @rachaelray",,05/05/2016 21:40,7.28339e+17,en,,,11,0
YouTube,And you thought kissing your human crush under the mistletoe was scary. @NikkiLimo gets her vamp on in… https://t.co/EiWKnHzmpX,,13/12/2016 18:42,8.08744e+17,en,,,886,141
YouTube,ICYMI: #GreaseLive was ELECTRIFYING. ⚡⚡⚡https://t.co/WakKUtJYJR https://t.co/W11OxP7CHX,,01/02/2016 23:23,6.943e+17,en,,,1945,334
britneyspears,Xo! #PerfumeVideoPremiere RT @SametcanKanal @VEVO omg it's too much i can't stand your perfection queen.,,10/12/2013 19:23,4.1049e+17,en,,,636,427
britneyspears,"@BARMY117 Smurftastic, lol. That's cute ;) #OohLaLaVideoPremiere",,11/07/2013 16:18,3.5536e+17,en,,,113,128
britneyspears,Miss Maddie helping me get ready for the show tonight!!  She looks so adorable in this wig #PieceOfMe ❤️ http://t.co/oP9tfPp0p3,,03/05/2014 03:24,4.62432e+17,en,,,6186,2596
britneyspears,#PieceOfMe ❤️ https://t.co/G7jCJbQd9B,,09/04/2016 01:33,7.18613e+17,und,,,9313,3268
britneyspears,Sooner than you think! RT @britneyspeans My favorite! when are we getting the video? #BritneyJeanListeningParty,,05/12/2013 19:33,4.08681e+17,en,,,655,511
britneyspears,"Sending my thoughts &amp; prayers to Boston, my heart is with u all... #PrayForBoston",,15/04/2013 23:40,3.23944e+17,en,,,3807,7510
britneyspears,@DJPaulyD Nice to see you today! Thanks for celebrating with us :),,06/11/2014 04:50,5.30221e+17,en,,,803,363
britneyspears,"Simon, dahling, where in bloody hell were u for this?? http://t.co/kTf5KBZi",,09/11/2012 22:29,2.67031e+17,en,,,1428,2071
britneyspears,@on_cloudniall That's what I like to hear!,,20/12/2012 03:52,2.81608e+17,en,,,72,84
britneyspears,YES!!! @thisisBURNS's work on #MakeMe can be described in one word... sensational. 🔥 https://t.co/wL08s5OzNg,,15/07/2016 22:32,7.54081e+17,en,,,6679,2907
britneyspears,Brunch with my boys! 👬 http://t.co/OmNcrDtjAD,,11/07/2014 21:20,4.87708e+17,en,,,10562,4140
britneyspears,@EriElise you're the best!,,01/03/2015 07:31,5.71936e+17,en,,,359,118
britneyspears,"9:34pm ET on the @CW_network, 9:40pm on @VEVO RT @Jamybitch WHAT TIME IS THE PREMIERE??? #WorkBxxchVideoTomorrow",,01/10/2013 01:15,3.84849e+17,en,,,1417,2471
britneyspears,@geewhizzle awwww thank you!!!!,,01/03/2015 04:49,5.71895e+17,en,,,316,119
britneyspears,So proud of this show &amp; thrilled POM is up for Best Show in the @ReviewJournal's @BestOfLasVegas Awards. Text 'Vote Britney' to 81500 :),,22/02/2015 03:02,5.69331e+17,en,,,3020,2146
britneyspears,Every year on my birthday the amount of love and gifts I receive from my fans reminds me of how truly blessed I am!,,02/12/2014 18:59,5.39856e+17,en,,,7707,4310
britneyspears,@obriennipples Fancy! I love the video so much #PrettyGirlTalk,,15/05/2015 21:40,5.99329e+17,en,,,565,270
